SI,ProductSale,PurchasePrice,Profit,date,weekday,weekend,Category,demand
0,1.8,9.6,3.182645,01-01-2016,1,0,1,320
1,1.8,9.6,3.182645,01-01-2016,1,0,2,244
2,1.8,9.6,3.182645,01-01-2016,1,0,3,360
3,21.9,7.0,-4.9736038,02-01-2016,0,1,1,320
4,21.9,7.0,-4.9736038,02-01-2016,0,1,2,244
5,21.9,7.0,-4.9736038,02-01-2016,0,1,3,360
6,69.8,8.1,3.8410428,03-01-2016,0,1,1,320
7,69.8,8.1,3.8410428,03-01-2016,0,1,2,244
8,69.8,8.1,3.8410428,03-01-2016,0,1,3,360
9,53.8,8.3,5.130837,04-01-2016,1,0,1,320
10,53.8,8.3,5.130837,04-01-2016,1,0,2,244
11,53.8,8.3,5.130837,04-01-2016,1,0,3,360
12,33.4,7.5,-2.8980421,05-01-2016,1,0,1,320
13,33.4,7.5,-2.8980421,05-01-2016,1,0,2,244
14,33.4,7.5,-2.8980421,05-01-2016,1,0,3,360
15,8.6,6.5,-0.9304865,06-01-2016,1,0,1,320
16,8.6,6.5,-0.9304865,06-01-2016,1,0,2,244
17,8.6,6.5,-0.9304865,06-01-2016,1,0,3,360
18,65.3,7.8,-1.6370013,07-01-2016,1,0,1,320
19,65.3,7.8,-1.6370013,07-01-2016,1,0,2,244
20,65.3,7.8,-1.6370013,07-01-2016,1,0,3,360
21,69.6,7.3,-2.5699401,08-01-2016,1,0,1,320
22,69.6,7.3,-2.5699401,08-01-2016,1,0,2,244
23,69.6,7.3,-2.5699401,08-01-2016,1,0,3,360
24,48.0,7.2,-4.3631049,09-01-2016,0,1,1,320
25,48.0,7.2,-4.3631049,09-01-2016,0,1,2,244
26,48.0,7.2,-4.3631049,09-01-2016,0,1,3,360
27,18.9,6.0,-1.9066824,10-01-2016,0,1,1,320
28,18.9,6.0,-1.9066824,10-01-2016,0,1,2,244
29,18.9,6.0,-1.9066824,10-01-2016,0,1,3,360
30,5.5,6.7,-1.0821877,11-01-2016,1,0,1,320
31,5.5,6.7,-1.0821877,11-01-2016,1,0,2,244
32,5.5,6.7,-1.0821877,11-01-2016,1,0,3,360
33,68.7,8.1,6.5820955,12-01-2016,1,0,1,320
34,68.7,8.1,6.5820955,12-01-2016,1,0,2,244
35,68.7,8.1,6.5820955,12-01-2016,1,0,3,360
36,10.8,7.9,-4.1632413,13-01-2016,1,0,1,320
37,10.8,7.9,-4.1632413,13-01-2016,1,0,2,244
38,10.8,7.9,-4.1632413,13-01-2016,1,0,3,360
39,56.0,6.0,5.7486244,14-01-2016,1,0,1,320
40,56.0,6.0,5.7486244,14-01-2016,1,0,2,244
41,56.0,6.0,5.7486244,14-01-2016,1,0,3,360
42,55.4,8.3,-4.1280557,15-01-2016,1,0,1,320
43,55.4,8.3,-4.1280557,15-01-2016,1,0,2,244
44,55.4,8.3,-4.1280557,15-01-2016,1,0,3,360
45,65.5,6.5,0.4116087,16-01-2016,0,1,1,320
46,65.5,6.5,0.4116087,16-01-2016,0,1,2,244
47,65.5,6.5,0.4116087,16-01-2016,0,1,3,360
48,17.6,6.3,0.4383975,17-01-2016,0,1,1,320
49,17.6,6.3,0.4383975,17-01-2016,0,1,2,244
50,17.6,6.3,0.4383975,17-01-2016,0,1,3,360
51,28.2,6.2,-1.5799514,18-01-2016,1,0,1,320
52,28.2,6.2,-1.5799514,18-01-2016,1,0,2,244
53,28.2,6.2,-1.5799514,18-01-2016,1,0,3,360
54,1.8,6.3,1.1983289,19-01-2016,1,0,1,320
55,1.8,6.3,1.1983289,19-01-2016,1,0,2,244
56,1.8,6.3,1.1983289,19-01-2016,1,0,3,360
57,23.1,9.0,-1.3778081,20-01-2016,1,0,1,320
58,23.1,9.0,-1.3778081,20-01-2016,1,0,2,244
59,23.1,9.0,-1.3778081,20-01-2016,1,0,3,360
60,50.9,7.7,1.7314984,21-01-2016,1,0,1,320
61,50.9,7.7,1.7314984,21-01-2016,1,0,2,244
62,50.9,7.7,1.7314984,21-01-2016,1,0,3,360
63,2.3,7.0,4.7610096,22-01-2016,1,0,1,320
64,2.3,7.0,4.7610096,22-01-2016,1,0,2,244
65,2.3,7.0,4.7610096,22-01-2016,1,0,3,360
66,8.4,6.7,3.737989,23-01-2016,0,1,1,320
67,8.4,6.7,3.737989,23-01-2016,0,1,2,244
68,8.4,6.7,3.737989,23-01-2016,0,1,3,360
69,64.5,9.8,0.8606137,24-01-2016,0,1,1,320
70,64.5,9.8,0.8606137,24-01-2016,0,1,2,244
71,64.5,9.8,0.8606137,24-01-2016,0,1,3,360
72,34.5,9.3,-3.9848391,25-01-2016,1,0,1,320
73,34.5,9.3,-3.9848391,25-01-2016,1,0,2,244
74,34.5,9.3,-3.9848391,25-01-2016,1,0,3,360
75,13.7,8.9,2.0155029,26-01-2016,1,0,1,320
76,13.7,8.9,2.0155029,26-01-2016,1,0,2,244
77,13.7,8.9,2.0155029,26-01-2016,1,0,3,360
78,29.2,7.3,-2.1888448,27-01-2016,1,0,1,320
79,29.2,7.3,-2.1888448,27-01-2016,1,0,2,244
80,29.2,7.3,-2.1888448,27-01-2016,1,0,3,360
81,40.5,8.2,-0.9148035,28-01-2016,1,0,1,320
82,40.5,8.2,-0.9148035,28-01-2016,1,0,2,244
83,40.5,8.2,-0.9148035,28-01-2016,1,0,3,360
84,12.6,7.9,3.8347076,29-01-2016,1,0,1,320
85,12.6,7.9,3.8347076,29-01-2016,1,0,2,244
86,12.6,7.9,3.8347076,29-01-2016,1,0,3,360
87,56.6,8.0,5.7856247,30-01-2016,0,1,1,320
88,56.6,8.0,5.7856247,30-01-2016,0,1,2,244
89,56.6,8.0,5.7856247,30-01-2016,0,1,3,360
